id,title,source,category,score,insight,fetched_at
tc-softbank-says-it-will-invest-up-to-75-billion-to-build-french-da,SoftBank says it will invest up to €75 billion to build French data centers,techcrunch,tech,75,From TechCrunch RSS,2026-05-31T07:59:26.101551Z
tc-this-weekend-s-two-biggest-movies-were-both-directed-by-youtuber,This weekend’s two biggest movies were both directed by YouTubers,techcrunch,tech,95,From TechCrunch RSS,2026-05-31T07:59:26.101551Z
tc-snap-alums-unveil-ghost-angels-fund,Snap alums unveil Ghost Angels fund,techcrunch,tech,73,From TechCrunch RSS,2026-05-31T07:59:26.101551Z
tc-what-a-joke-github-copilot-s-new-token-based-billing-spurs-const,‘What a joke’: Github Copilot’s new token-based billing spurs consternation among devs,techcrunch,tech,76,From TechCrunch RSS,2026-05-31T07:59:26.101551Z
tc-meta-is-reportedly-developing-an-ai-pendant,Meta is reportedly developing an AI pendant,techcrunch,tech,73,From TechCrunch RSS,2026-05-31T07:59:26.101551Z
tc-i-put-google-s-24-7-ai-assistant-gemini-spark-to-work-and-it-s-a,"I put Google’s 24/7 AI assistant Gemini Spark to work, and it’s actually pretty useful",techcrunch,tech,71,From TechCrunch RSS,2026-05-31T07:59:26.101551Z
tc-the-groupthink-boom-what-three-top-vcs-really-think-about-the-ai,The groupthink boom: what three top VCs really think about the AI frenzy,techcrunch,tech,95,From TechCrunch RSS,2026-05-31T07:59:26.101551Z
tc-as-the-browser-wars-heat-up-here-are-the-hottest-alternatives-to,"As the browser wars heat up, here are the hottest alternatives to Chrome and Safari in 2026",techcrunch,tech,93,From TechCrunch RSS,2026-05-31T07:59:26.101551Z
tc-this-300-pizza-oven-can-easily-help-elevate-your-summer-pizza-ni,This $300 pizza oven can easily help elevate your summer pizza nights,techcrunch,tech,80,From TechCrunch RSS,2026-05-31T07:59:26.101551Z
tc-tiktok-s-road-to-becoming-a-super-app,TikTok’s road to becoming a super app,techcrunch,tech,70,From TechCrunch RSS,2026-05-31T07:59:26.101551Z
